Word,Frequency
está,25
pero,22
tener,21
esto,19
están,18
todo,18
cloud,16
cosas,15
tiene,15
montón,14
bastante,14
como,14
empresas,11
bien,10
cuenta,9
creo,9
amazon,8
parece,8
servicios,8
también,8
bueno,8
google,7
hecho,7
haciendo,7
dólares,7
este,7
tema,7
vamos,7
microsoft,7
grandes,7
para,6
verdad,6
cinco,6
muchas,6
aquí,6
porque,6
servidores,6
millones,5
ahora,5
cloudflare,5
poco,5
gente,5
justamente,5
súper,5
pues,5
utilizar,5
menos,5
tienen,5
cada,5
años,5
viendo,5
solo,4
poquito,4
mucho,4
propios,4
entonces,4
casos,4
datos,4
tipo,4
esta,4
ejemplo,4
tienes,4
dinodeploy,4
tres,4
veces,4
azure,4
tengo,4
sobre,4
realmente,4
mercado,3
sale,3
cómo,3
luego,3
gastado,3
otras,3
hierros,3
problemas,3
vercel,3
tanto,3
ahorrar,3
¿qué,3
buena,3
puede,3
otro,3
permitir,3
totalmente,3
pinta,3
estas,3
interesante,3
coste,3
muchos,3
ciertas,3
página,3
mejor,3
empresa,3
rack,3
dinero,3
¿vale,3
visto,3
sentido,3
puedes,3
mira,3
infraestructura,3
específico,3
importante,2
snapchat,2
caso,2
futuro,2
forma,2
gratis,2
quitar,2
¿por,2
utiliza,2
mundo,2
planetscale,2
precio,2
estaban,2
vale,2
equipos,2
yendo,2
obviamente,2
dando,2
artificial,2
cuánto,2
ingeniería,2
garantías,2
tengas,2
mantener,2
pueda,2
últimamente,2
bestias,2
montar,2
baratos,2
hostings,2
temas,2
habían,2
salvajada,2
verdadera,2
salir,2
siempre,2
tiempo,2
servicio,2
además,2
curioso,2
dejando,2
volviendo,2
base,2
millón,2
meses,2
creciendo,2
donde,2
podríamos,2
pasando,2
normalmente,2
sería,2
demuestran,2
podemos,2
crecido,2
pena,2
tendríamos,2
establecidos,2
miles,2
twitter,2
parte,2
nada,2
aprender,2
cosa,2
existen,2
llama,2
movieron,2
hace,2
dejar,2
claro,1
alguien,1
responder,1
majo,1
eres,1
clientes,1
explica,1
fueron,1
ahorraron,1
podéis,1
gusta,1
explicar,1
comento,1
obceca,1
tecnologías,1
tímidamente,1
decreciendo,1
alibaba,1
imagino,1
bajando,1
three,1
copando,1
pasa,1
digo,1
blanco,1
negro,1
contraposición,1
opinión,1
demasiado,1
generalizada,1
plantea,1
espíritu,1
crítico,1
ingeniero,1
ingeniera,1
diga,1
ostras,1
necesitamos,1
hacerte,1
pensar,1
mido,1
fierros,1
costosa,1
algunas,1
ayuda,1
sigo,1
pensando,1
gran,1
últimos,1
seis,1
recuperado,1
fijaos,1
cerquita,1
diferencia,1
mismo,1
número,1
teniendo,1
parecía,1
estaba,1
total,1
ahorros,1
quitado,1
bajado,1
gastos,1
comprado,1
infraestructuras,1
bajo,1
escalan,1
lado,1
privacidad,1
suyos,1
dedicados,1
ahorrarse,1
¿dónde,1
viene,1
david,1
heinahmeyer,1
hanson,1
creador,1
ruben,1
rails,1
salseo,1
bestia,1
diré,1
instalado,1
puesto,1
cores,1
funcionando,1
todas,1
artículo,1
chulo,1
explican,1
funciona,1
bajada,1
costes,1
decís,1
sino,1
gastó,1
eran,1
pasado,1
salido,1
cual,1
polémico,1
principio,1
salía,1
igual,1
caros,1
mientras,1
matando,1
competencia,1
hierro,1
premise,1
saliendo,1
sandwich,1
tenemos,1
algunos,1
había,1
hacer,1
recortes,1
quiere,1
decir,1
deberías,1
especialmente,1
punto,1
control,1
nivel,1
persona,1
sitio,1
conectividad,1
redes,1
caro,1
quitando,1
personal,1
experiencias,1
trabajando,1
experiencia,1
gustado,1
nuevos,1
hablar,1
corriente,1
estáis,1
detectando,1
sabes,1
estar,1
online,1
caiga,1
pagar,1
bonificar,1
dependiendo,1
críticos,1
latencia,1
empezar,1
migrando,1
puedas,1
vais,1
compañías,1
recortando,1
padre,1
tuviera,1
priorizar,1
aprendería,1
clarísimo,1
cerca,1
poniendo,1
cara,1
foco,1
pricing,1
competitivo,1
tenía,1
contrato,1
2000,1
verdaderas,1
salvajadas,1
estamos,1
intentando,1
recortar,1
encima,1
volver,1
atrás,1
necesitar,1
ocupe,1
tamaño,1
primera,1
dependen,1
pueden,1
dedican,1
estoy,1
ponerse,1
ahorró,1
conocéis,1
herramientas,1
recursos,1
detectar,1
mejorado,1
rankings,1
comparar,1
keywords,1
mirar,1
competencias,1
chula,1
líder,1
alguno,1
envoltorio,1
final,1
especie,1
productos,1
hosting,1
brutal,1
actividad,1
tirar,1
abajo,1
específicas,1
dinokeyvalue,1
requests,1
deploy,1
valer,1
espero,1
saquen,1
varias,1
opciones,1
sean,1
económicas,1
usemos,1
crecimiento,1
escala,1
desplegado,1
sitios,1
preocupes,1
zona,1
otra,1
manteniendo,1
quieres,1
quitas,1
observabilidad,1
calidad,1
evolución,1
hablamos,1
typescript,1
propio,1
servidor,1
¿son,1
localizaciones,1
cero,1
podrían,1
suficientemente,1
jaleos,1
cabeza,1
pequeña,1
mediana,1
jaleo,1
específicos,1
plantearse,1
otros,1
refutados,1
todavía,1
lejos,1
mayoría,1
ninguna,1
duda,1
